BRAND, MODEL, TYPE, LINK,image_url
Beetronics,Zzombee Filtremulator,"['Filter and Wah Pedals', 'Tremolo Pedals']",https://www.awin1.com/awclick.php?gid=478914&mid=67144&awinaffid=1772610&linkid=3524610&clickref=https://reverb.com/p/beetronics-zzombee-filtremulator,https://rvb-img.reverb.com/image/upload/s--aYnITb1e--/t_card-square/v1654874855/piq5e8ohhubbffz6qxqg.jpg
Beetronics,Vezzpa Octave Stinger,"['Fuzz Pedals and Effects', 'Octave and Pitch-Shifting Pedals']",https://reverb.com/p/beetronics-vezzpa-octave-stinger,https://rvb-img.reverb.com/image/upload/s--UiMzlD99--/t_card-square/v1620922890/ewvxnk8oymfmmrypbwh4.jpg
Beetronics,Swarm Royal Series Fuzz,['Fuzz Pedals and Effects'],https://reverb.com/p/beetronics-swarm-royal-series-fuzz,https://rvb-img.reverb.com/image/upload/s--gbLvS6Qv--/t_card-square/v1572539036/mznru2soumud00kxlind.jpg
Beetronics,Royal Jelly Overdrive / Fuzz,"['Fuzz Pedals and Effects', 'Overdrive and Boost Pedals']",https://reverb.com/p/beetronics-royal-jelly-overdrive-slash-fuzz,"https://rvb-img.reverb.com/image/upload/s--u7KlhxAi--/a_exif,c_thumb,f_auto,fl_progressive,g_south,h_296,q_auto:eco,w_296/v1528140302/zozmisd8ptqgl3kxggtd.jpg"
Beetronics,OctaHive Octave Fuzz,"['Fuzz Pedals and Effects', 'Octave and Pitch-Shifting Pedals']",https://reverb.com/p/beetronics-octahive-octave-fuzz,https://rvb-img.reverb.com/image/upload/s--vV2oypvF--/t_card-square/v1500064443/ploxxt8uzorecmiwurq8.jpg
Beetronics,Fatbee Overdrive,['Overdrive and Boost Pedals'],https://reverb.com/p/beetronics-fat-bee,https://rvb-img.reverb.com/image/upload/s--LPLfnc4n--/t_card-square/v1588880183/lew0a96opp5rvvoi4xlx.jpg
Beetronics,Overhive Medium Gain Overdrive,['Overdrive and Boost Pedals'],https://reverb.com/p/beetronics-overhive-medium-gain-overdrive,"https://rvb-img.reverb.com/image/upload/s--ozZKzIxH--/a_exif,c_thumb,f_auto,fl_progressive,g_south,h_296,q_auto:eco,w_296/v1515701489/pnjm1klbbk4zfuxnez34.png"
Beetronics,Whoctahell Octave Fuzz,"['Fuzz Pedals and Effects', 'Octave and Pitch-Shifting Pedals']",https://reverb.com/p/beetronics-whoctahell-octave-fuzz,https://rvb-img.reverb.com/image/upload/s--HZK50Em---/t_card-square/v1534858632/bpucvss5jbeho5iyxslz.jpg
Beetronics,Buzzter Boost,['Overdrive and Boost Pedals'],https://reverb.com/p/beetronics-buzzter-boost,"https://rvb-img.reverb.com/image/upload/s--9g7vkQEc--/a_exif,c_thumb,f_auto,fl_progressive,g_south,h_296,q_auto:eco,w_296/v1528466676/aajiz692mr36eg1izf1u.jpg"
Beetronics,OctaHive Dual FS Octave Fuzz,"['Fuzz Pedals and Effects', 'Octave and Pitch-Shifting Pedals']",https://reverb.com/p/beetronics-octahive-dual-fs-octave-fuzz,https://rvb-img.reverb.com/image/upload/s--RWNAmbCE--/t_card-square/v1637086347/p2kgz66qfobfes3pwisc.jpg
